mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,filter,noise,seed
0.04052678530269701,0.03683301613737853,-14.33762716697041,580,2.7307143661391784,LMS,gaussian,0
0.03380842394867493,0.039039368982929035,-14.08497210703409,170,3.5178866659370023,NLMS,gaussian,0
0.03985806839319589,0.03807731725466781,-14.193336575066432,580,2.8029734423596757,VSS-LMS,gaussian,0
0.038502973242325336,0.03944167857734876,-14.040446104194276,151,2.953193247700188,RLS,gaussian,0
0.041531080184823745,0.03661886803943176,-14.362950847036931,302,2.624403654232694,LMS,gaussian,1
0.03671569030335562,0.03825282339577444,-14.173365045525445,104,3.159618943456989,NLMS,gaussian,1
0.04003398419444345,0.03752342888253463,-14.256974827354782,268,2.7838477889917304,VSS-LMS,gaussian,1
0.03853889961610511,0.03846884146951372,-14.148908927298177,104,2.9491428199421748,RLS,gaussian,1
0.041002635618802116,0.03598423861078672,-14.43887682088559,569,2.680018185340238,LMS,gaussian,2
0.03643299802751248,0.03633485509768606,-14.396765674087021,152,3.1931868199263587,NLMS,gaussian,2
0.03907237371690732,0.03624588323906532,-14.407413128902837,575,2.8894379607914704,VSS-LMS,gaussian,2
0.0382643525097004,0.0377323651068284,-14.232859718706521,573,2.980192234623667,RLS,gaussian,2
0.05127685525782732,0.042649770319027,-13.700833032775478,579,1.7089220966116585,LMS,colored,0
0.06273631883892652,0.05350081965971777,-12.716395643077457,172,0.8329456014414927,NLMS,colored,0
0.05365886824527953,0.04830190900823441,-13.160357045322826,561,1.5117208383891416,VSS-LMS,colored,0
0.05373837877956265,0.0508963832705375,-12.933130778011751,153,1.5052903211166537,RLS,colored,0
0.05431311274941931,0.052287998612341346,-12.815979810010285,468,1.4590889883722848,LMS,colored,1
0.06735455960569951,0.06404172409636738,-11.93536984749398,519,0.5244659141138772,NLMS,colored,1
0.055569879941920836,0.0551826189087458,-12.581976922029481,1168,1.3597413378101155,VSS-LMS,colored,1
0.054667029713228114,0.05652580974310022,-12.47753207578346,460,1.4308811476945156,RLS,colored,1
0.05335087811969104,0.05153544852159615,-12.878939398558577,677,1.53672020263536,LMS,colored,2
0.06209285611396811,0.05618462022408542,-12.503825503648475,100,0.8777195552944708,NLMS,colored,2
0.05269670476543612,0.054073111604544366,-12.670186384836388,682,1.5903013355452131,VSS-LMS,colored,2
0.051732601146768004,0.0562093731228537,-12.50191258157859,103,1.670492767288847,RLS,colored,2
0.041568386785359096,0.032797459235946104,-14.84159799035693,310,2.6205042184311242,LMS,impulsive,0
0.034634282241865655,0.03703512454975572,-14.31386190458452,179,3.413074004927921,NLMS,impulsive,0
0.04220051775752116,0.0356698326280171,-14.476989284655383,566,2.554958129296983,VSS-LMS,impulsive,0
0.04412769813892356,0.036619605699244974,-14.362863362530483,182,2.361023186171927,RLS,impulsive,0
0.04196763257499417,0.04395223231690154,-13.570190623711827,245,2.578991212450447,LMS,impulsive,1
0.03471018463936512,0.04278125448361889,-13.687464846602444,100,3.4035666838558747,NLMS,impulsive,1
0.04189773091420939,0.04474350447084488,-13.492700034048008,197,2.586230890744563,VSS-LMS,impulsive,1
0.04249969269548109,0.05092729323424625,-12.930494057840685,100,2.524278024884353,RLS,impulsive,1
0.04157196422954128,0.036691147345917136,-14.354387074687986,558,2.6201304734926545,LMS,impulsive,2
0.03547549704164001,0.03557137831731201,-14.488993064633657,105,3.308851032704105,NLMS,impulsive,2
0.040360983693700433,0.03789741871353289,-14.213903698792109,571,2.748518497870366,VSS-LMS,impulsive,2
0.04179729743355624,0.04266169981231233,-13.69961844506965,104,2.5966539058845814,RLS,impulsive,2
0.04382693740136673,0.013806482087686941,-18.599169661786874,202,2.9727093378518354,LMS,time_varying,0
0.03592320096423657,0.010803823505683667,-19.66422519143922,102,3.836370294131541,NLMS,time_varying,0
0.04420382553996652,0.017392132045097063,-17.5964717595594,154,2.9355220107176514,VSS-LMS,time_varying,0
0.04076095009863356,0.009676560271247043,-20.142789939582645,103,3.287677588353109,RLS,time_varying,0
0.046428279771592966,0.03536835404392728,-14.513851506980693,294,3.1358778031238703,LMS,time_varying,1
0.04081050756298598,0.035468109837750124,-14.501619552685035,103,3.6959837694146156,NLMS,time_varying,1
0.04577052925336827,0.03711623398862888,-14.30436096044133,246,3.197844388123741,VSS-LMS,time_varying,1
0.04390908420588047,0.036887897479891706,-14.331160977812994,125,3.3781599380490874,RLS,time_varying,1
0.06470489018739711,0.00988061128432252,-20.052161860166137,2172,4.481068989190756,LMS,time_varying,2
0.0669980449116375,0.009270969390825445,-20.328748527476893,2129,4.329818737887845,NLMS,time_varying,2
0.06749881592174474,0.01941670977129205,-17.118243608749385,2227,4.297478489941297,VSS-LMS,time_varying,2
0.06434379239538787,0.00803832693143304,-20.948343342892688,2177,4.5053734895773045,RLS,time_varying,2
0.04098839802100611,0.04190956750887399,-13.776868208899531,246,2.681526474713394,LMS,alpha_stable,0
0.03472340156951833,0.0425182036762977,-13.714250919736878,178,3.4019132938438474,NLMS,alpha_stable,0
0.04173962695091913,0.04488160913930625,-13.479315807129534,202,2.6026502904889117,VSS-LMS,alpha_stable,0
0.0466086090470052,0.05341335003870577,-12.723501825975683,179,2.1234744991633114,RLS,alpha_stable,0
0.04342539527321778,0.05303479006220415,-12.754391459519782,356,2.430698120388003,LMS,alpha_stable,1
0.03579052948149573,0.053524670904262724,-12.71445994271129,100,3.270454689284362,NLMS,alpha_stable,1
0.043386605977949626,0.056718784036909456,-12.462730883201726,290,2.4345791455388532,VSS-LMS,alpha_stable,1
0.04758110060655349,0.06879668098680546,-11.624325132681353,100,2.0337910872072484,RLS,alpha_stable,1
0.04266685276769621,0.04387698858485,-13.57763187055112,291,2.507229830719071,LMS,alpha_stable,2
0.033964590304362274,0.037425206713674074,-14.268357921928098,100,3.4978721196452973,NLMS,alpha_stable,2
0.04149466814790455,0.045919208695734993,-13.380056045299987,198,2.6282129659357327,VSS-LMS,alpha_stable,2
0.050292284857099065,0.05688438789169503,-12.450069108000001,102,1.7931222553221637,RLS,alpha_stable,2
0.03794195650545578,0.033973397174747066,-14.688610236064697,202,3.0169387042457796,LMS,burst,0
0.029773385996320324,0.03441373213673184,-14.63268225986167,100,4.069853644144176,NLMS,burst,0
0.04518468356269481,0.04545499172542342,-13.424184169480288,132,2.2582234710038946,VSS-LMS,burst,0
0.05683996524295505,0.05721420192282441,-12.424961556197967,100,1.261597885903024,RLS,burst,0
0.0361107610231481,0.0034346868997752623,-24.641128462210574,294,3.231769511294477,LMS,burst,1
0.028765481259297124,0.0005707921370966793,-32.43522017345659,258,4.219419479096993,NLMS,burst,1
0.04208610551998672,0.015492770617877167,-18.098709091038224,311,2.5667485254508815,VSS-LMS,burst,1
0.03575734279001098,0.0001662673644458761,-37.79192984680697,258,3.2744835436886994,RLS,burst,1
0.03949725297121616,0.0666730519068857,-11.760496649221581,223,2.8424670072366016,LMS,burst,2
0.03294125769678811,0.07504189324008784,-11.246962176222585,100,3.6307341576586314,NLMS,burst,2
0.04186759046363109,0.07350411098359336,-11.336883707389848,132,2.5893562490007405,VSS-LMS,burst,2
0.04811095349345736,0.07497230279386094,-11.250991494747907,100,1.9856962816599921,RLS,burst,2
0.047711761291427804,0.022082380606875604,-16.559541089712546,1814,2.0218814333446176,LMS,chirp_interferer,0
0.03081092680349594,0.013388061231509752,-18.732823099921596,103,3.921088300282271,NLMS,chirp_interferer,0
0.05825457855028931,0.047265503460567015,-13.254557117380354,149,1.15483527628259,VSS-LMS,chirp_interferer,0
0.035174437743697044,0.013654204721640579,-18.64733589894581,100,3.34586428221456,RLS,chirp_interferer,0
0.03691540997682658,0.009806808847205542,-20.084722897737525,987,3.1360589628196056,LMS,chirp_interferer,1
0.01913598756984209,0.006159164015003078,-22.104782306724275,257,5.989627120596817,NLMS,chirp_interferer,1
0.049767438001132175,0.02716573325408507,-15.659785680335563,3016,1.8386830818631594,VSS-LMS,chirp_interferer,1
0.025235371864146074,0.006885542690252237,-21.62061824684038,999,4.788038834625889,RLS,chirp_interferer,1
0.04943081011744144,0.02511791780292723,-16.0001636508392,1964,1.8681586414216795,LMS,chirp_interferer,2
0.02942059930463648,0.014078181903183965,-18.514534275776526,100,4.1216207710750865,NLMS,chirp_interferer,2
0.062082499057065706,0.04979412357420905,-13.028219072291648,4000,0.8784440167009144,VSS-LMS,chirp_interferer,2
0.04087005455242232,0.014985510396063415,-18.243284606693987,103,2.6940837487720817,RLS,chirp_interferer,2
0.14130855400106335,0.04368520468612125,-13.596656250597166,3247,6.271346940332781,LMS,regime_switch,0
0.1648046787710823,0.04350271319054651,-13.614836559793586,3241,5.6033360928197355,NLMS,regime_switch,0
0.1462270058136378,0.04922490134844106,-13.078151455491396,3338,6.122755590026632,VSS-LMS,regime_switch,0
0.16139606460784148,0.06780278560069088,-11.68752463262852,3611,5.694102054301521,RLS,regime_switch,0
0.021654332330260456,0.007409134321540038,-21.302325316841653,223,1.5786109886789053,LMS,regime_switch,1
0.013353052467402904,0.006209192821647587,-22.069648531977364,100,3.6782534103706244,NLMS,regime_switch,1
0.025809742921800948,0.01815595511402592,-17.40980899586418,133,0.8162221773640432,VSS-LMS,regime_switch,1
0.016107705525961327,0.00557509510105678,-22.53747719858959,100,2.8637221507131105,RLS,regime_switch,1
0.12509350035172018,0.051548871282852814,-12.87780839605702,719,6.745963601278849,LMS,regime_switch,2
0.12543200685899175,0.044026856638627716,-13.562823205090492,511,6.734227343418439,NLMS,regime_switch,2
0.15394172420252408,0.06204905410253636,-12.07264834644635,3601,5.844747586912973,VSS-LMS,regime_switch,2
0.1487991473625578,0.05437680068584537,-12.645863481446716,3563,5.99230662539745,RLS,regime_switch,2
